"id","chapter","title","content"
"3.23","§3.23","clean random access (CRA) picture: An IRAP picture for which each VCL NAL unit has nal_unit_type equal to CRA_NUT.","NOTE4-A CRA picture contains only I slices, and may be the first picture in the bitstream in decoding order, or may appear later in the bitstream. A CRA picture may have associated RADL or RASL pictures. When a CRA picture has NoRaslOutputFlag equal to 1, the associated RASL pictures are not output by the decoder, because they may not be decodable, as they may contain references to pictures that are not present in the bitstream."
"3.28","§3.28","coded video sequence (CVS): A sequence of access units that consists, in decoding order, of an IRAP access unit with NoRaslOutputFlag equal to 1, followed by zero or more access units that are not IRAP access units with NoRaslOutputFlag equal to 1, including all subsequent access units up to but not including any subsequent access unit that is an IRAP access unit with NoRaslOutputFlag equal to 1.","NOTE5-An IRAP access unit may be an IDR access unit, a BLA access unit, or a CRA access unit. The value of NoRaslOutputFlag is equal to 1 for each IDR access unit, each BLA access unit, and each CRA access unit that is the first access unit in the bitstream in decoding order, is the first access unit that follows an end of sequence NAL unit in decoding order, or has HandleCraAsBlaFlag equal to 1."
"3.45","§3.45","elementary stream: A sequence of one or more bitstreams.","NOTE6-An elementary stream that consists of two or more bitstreams would typically have been formed by splicing together two or more bitstreams (or parts thereof)."
"3.59","§3.59","instantaneous decoding refresh (IDR) picture: An IRAP picture for which each VCL NAL unit has nal_unit_type equal to IDR_W_RADL or IDR_N_LP.","NOTE7-An IDR picture contains only I slices, and may be the first picture in the bitstream in decoding order, or may appear later in the bitstream. Each IDR picture is the first picture of a CVS in decoding order. When an IDR picture for which each VCL NAL unit has nal_unit_type equal to IDR_W_RADL, it may have associated RADL pictures. When an IDR picture for which each VCL NAL unit has nal_unit_type equal to IDR_N_LP, it does not have any associated leading pictures. An IDR picture does not have associated RASL pictures."
"3.65","§3.65","intra random access point (IRAP) picture: A coded picture for which each VCL NAL unit has nal_unit_type in the range of BLA_W_LP to RSV_IRAP_VCL23, inclusive.","NOTE8-An IRAP picture contains only I slices, and may be a BLA picture, a CRA picture or an IDR picture. The first picture in the bitstream in decoding order must be an IRAP picture. Provided the necessary parameter sets are available when they need to be activated, the IRAP picture and all subsequent non-RASL pictures in decoding order can be correctly decoded without performing the decoding process of any pictures that precede the IRAP picture in decoding order. There may be pictures in a bitstream that contain only I slices that are not IRAP pictures."
"3.68","§3.68","layer: A set of VCL NAL units that all have a particular value of nuh_layer_id and the associated non-VCL NAL units, or one of a set of syntactical structures having a hierarchical relationship.","NOTE9-Depending on the context, either the first layer concept or the second layer concept applies. The first layer concept is also referred to as a scalable layer, wherein a layer may be a spatial scalable layer, a quality scalable layer, a view, etc. A temporal true subset of a scalable layer is not referred to as a layer but referred to as a sub-layer or temporal sub-layer. The second layer concept is also referred to as a coding layer, wherein higher layers contain lower layers, and the coding layers are the CVS, picture, slice, slice segment, and coding tree unit layers."
"3.73","§3.73","level: A defined set of constraints on the values that may be taken by the syntax elements and variables of this Specification, or the value of a transform coefficient prior to scaling.","NOTE10-The same set of levels is defined for all profiles, with most aspects of the definition of each level being in common across different profiles. Individual implementations may, within the specified constraints, support a different level for each supported profile."
"3.78","§3.78","luma: An adjective, represented by the symbol or subscript Y or L, specifying that a sample array or single sample is representing the monochrome signal related to the primary colours.","NOTE11-The term luma is used rather than the term luminance in order to avoid the implication of the use of linear light transfer characteristics that is often associated with the term luminance. The symbol L is sometimes used instead of the symbol Y to avoid confusion with the symbol y as used for vertical location."
"3.79","§3.79","may: A term that is used to refer to behaviour that is allowed, but not necessarily required.","NOTE12-In some places where the optional nature of the described behaviour is intended to be emphasized, the phrase ""may or may not"" is used to provide emphasis."
"3.86","§3.86","non-reference picture: A picture that is marked as ""unused for reference"".","NOTE13-A non-reference picture contains samples that cannot be used for inter prediction in the decoding process of subsequent pictures in decoding order. In other words, once a picture is marked as ""unused for reference"", it can never be marked back as ""used for reference""."
"3.89","§3.89","operation point: A bitstream created from another bitstream by operation of the sub-bitstream extraction process with the another bitstream, a target highest TemporalId, and a target layer identifier list as inputs.","NOTE14-If the target highest TemporalId of an operation point is equal to the greatest value of TemporalId in the layer set associated with the target layer identification list, the operation point is identical to the layer set. Otherwise it is a subset of the layer set."
"3.93","§3.93","picture: An array of luma samples in monochrome format or an array of luma samples and two corresponding arrays of chroma samples in 4:2:0, 4:2:2, and 4:4:4 colour format.","NOTE15-A picture may be either a frame or a field. However, in one CVS, either all pictures are frames or all pictures are fields."
"3.109","§3.109","random access decodable leading (RADL) picture: A coded picture for which each VCL NAL unit has nal_unit_type equal to RADL_R or RADL_N.","NOTE16-All RADL pictures are leading pictures. RADL pictures are not used as reference pictures for the decoding process of trailing pictures of the same associated IRAP picture. When present, all RADL pictures precede, in decoding order, all trailing pictures of the same associated IRAP picture."
"3.111","§3.111","random access skipped leading (RASL) picture: A coded picture for which each VCL NAL unit has nal_unit_type equal to RASL_R or RASL_N.","NOTE17-All RASL pictures are leading pictures of an associated BLA or CRA picture. When the associated IRAP picture has NoRaslOutputFlag equal to 1, the RASL picture is not output and may not be correctly decodable, as the RASL picture may contain references to pictures that are not present in the bitstream. RASL pictures are not used as reference pictures for the decoding process of non-RASL pictures. When present, all RASL pictures precede, in decoding order, all trailing pictures of the same associated IRAP picture."
"3.117","§3.117","reference picture: A picture that is a short-term reference picture or a long-term reference picture.","NOTE18-A reference picture contains samples that may be used for inter prediction in the decoding process of subsequent pictures in decoding order."
"3.118","§3.118","reference picture list: A list of reference pictures that is used for inter prediction of a P or B slice.","NOTE19-For the decoding process of a P slice, there is one reference picture list - reference picture list 0. For the decoding process of a B slice, there are two reference picture lists - reference picture list 0 and reference picture list1."
"3.121","§3.121","reference picture set (RPS): A set of reference pictures associated with a picture, consisting of all reference pictures that are prior to the associated picture in decoding order, that may be used for inter prediction of the associated picture or any picture following the associated picture in decoding order.","NOTE20-The RPS of a picture consists of five RPS lists, three of which are to contain short-term reference pictures and the other two are to contain long-term reference pictures."
"3.127","§3.127","shall: A term used to express mandatory requirements for conformance to this Specification.","NOTE21-When used to express a mandatory constraint on the values of syntax elements or on the results obtained by operation of the specified decoding process, it is the responsibility of the encoder to ensure that the constraint is fulfilled. When used in reference to operations performed by the decoding process, any decoding process that produces identical cropped decoded pictures to those output from the decoding process described in this Specification conforms to the decoding process requirements of this Specification."
"3.136","§3.136","start code prefix: A unique sequence of three bytes equal to 0x000001 embedded in the byte stream as a prefix to each NAL unit.","NOTE22-The location of a start code prefix can be used by a decoder to identify the beginning of a new NAL unit and the end of a previous NAL unit. Emulation of start code prefixes is prevented within NAL units by the inclusion of emulation prevention bytes."
"3.138","§3.138","step-wise temporal sub-layer access (STSA) picture: A coded picture for which each VCL NAL unit has nal_unit_type equal to STSA_R or STSA_N.","NOTE23-An STSA picture does not use pictures with the same TemporalId as the STSA picture for inter prediction reference. Pictures following an STSA picture in decoding order with the same TemporalId as the STSA picture do not use pictures prior to the STSA picture in decoding order with the same TemporalId as the STSA picture for inter prediction reference. An STSA picture enables up-switching, at the STSA picture, to the sub-layer containing the STSA picture, from the immediately lower sub-layer. STSA pictures must have TemporalId greater than 0."
"3.142","§3.142","sub-layer non-reference picture: A picture that contains samples that cannot be used for inter prediction in the decoding process of subsequent pictures of the same sub-layer in decoding order.","NOTE24-Samples of a sub-layer non-reference picture may be used for inter prediction in the decoding process of subsequent pictures of higher sub-layers in decoding order."
"3.143","§3.143","sub-layer reference picture: A picture that contains samples that may be used for inter prediction in the decoding process of subsequent pictures of the same sub-layer in decoding order.","NOTE25-Samples of a sub-layer reference picture may also be used for inter prediction in the decoding process of subsequent pictures of higher sub-layers in decoding order."
"3.151","§3.151","temporal sub-layer access (TSA) picture: A coded picture for which each VCL NAL unit has nal_unit_type equal to TSA_R or TSA_N.","NOTE26-A TSA picture and pictures following the TSA picture in decoding do not use pictures with TemporalId greater than or equal to that of the TSA picture for inter prediction reference. A TSA picture enables up-switching, at the TSA picture, to the sub-layer containing the TSA picture or any higher sub-layer, from the immediately lower sub-layer. TSA pictures must have TemporalId greater than 0."
"3.158","§3.158","trailing picture: A picture that follows the associated IRAP picture in output order.","NOTE27-Trailing pictures associated with an IRAP picture also follow the IRAP picture in decoding order. Pictures that follow the associated IRAP picture in output order and precede the associated IRAP picture in decoding order are not allowed."
"3.168","§3.168","z-scan order: A specified sequential ordering of blocks partitioning a picture, where the order is identical to coding tree block raster scan of the picture when the blocks are of the same size as coding tree blocks, and, when the blocks are of a smaller size than coding tree blocks, i.e. coding tree blocks are further partitioned into smaller coding blocks, the order traverses from coding tree block to coding tree block in coding tree block raster scan of the picture, and inside each coding tree block, which may be divided into quadtrees hierarchically to lower levels, the order traverses from quadtree to quadtree of a particular level in quadtree-of-the-particular-level raster scan of the quadtree of the immediately higher level.","4 Abbreviations For the purposes of this Recommendation | International Standard, the following abbreviations apply: B	Bi-predictive BLA	Broken Link Access CABAC	Context-based Adaptive Binary Arithmetic Coding CB	Coding Block CBR	Constant Bit Rate CRA	Clean Random Access CPB	Coded Picture Buffer CTB	Coding Tree Block CTU	Coding Tree Unit CU	Coding Unit CVS	Coded Video Sequence DPB	Decoded Picture Buffer DUT	Decoder Under Test EG	Exponential-Golomb FIFO	First-In, First-Out FIR	Finite Impulse Response FL	Fixed-Length GDR	Gradual Decoding Refresh HRD	Hypothetical Reference Decoder HSS	Hypothetical Stream Scheduler I	Intra IDR	Instantaneous Decoding Refresh IRAP	Intra Random Access Point LPS	Least Probable Symbol LSB	Least Significant Bit MPS	Most Probable Symbol MSB	Most Significant Bit NAL	Network Abstraction Layer P	Predictive PB	Prediction Block PPS	Picture Parameter Set PU	Prediction Unit RADL	Random Access Decodable Leading (Picture) RASL	Random Access Skipped Leading (Picture) RBSP	Raw Byte Sequence Payload RPS	Reference Picture Set SEI	Supplemental Enhancement Information SODB	String Of Data Bits SPS	Sequence Parameter Set STSA	Step-wise Temporal Sub-layer Access TB	Transform Block TR	Truncated Rice TSA	Temporal Sub-layer Access TU	Transform Unit UUID	Universal Unique Identifier VBR	Variable Bit Rate VCL	Video Coding Layer VPS	Video Parameter Set VUI	Video Usability Information 5 Conventions"
"5.1","§5.1","General","NOTE-The mathematical operators used in this Specification are similar to those used in the C programming language. However, the results of integer division and arithmetic shift operations are defined more precisely, and additional operations are defined, such as exponentiation and real-valued division. Numbering and counting conventions generally begin from 0."
"5.2","§5.2","Arithmetic operators","The following arithmetic operators are defined as follows: ?	Addition ?	Subtraction (as a two-argument operator) or negation (as a unary prefix operator) *	Multiplication, including matrix multiplication xy	Exponentiation. Specifies x to the power of y. In other contexts, such notation is used for superscripting not intended for interpretation as exponentiation. /	Integer division with truncation of the result toward zero. For example, 7 / 4 and ?7 / ?4 are truncated to1 and ?7 / 4 and 7 / ?4 are truncated to ?1. ?	Used to denote division in mathematical equations where no truncation or rounding is intended. Used to denote division in mathematical equations where no truncation or rounding is intended. The summation of f(i) with i taking all integer values from x up to and including y. x % y	Modulus. Remainder of x divided by y, defined only for integers x and y with x >= 0 and y > 0."
"5.3","§5.3","Logical operators","The following logical operators are defined as follows: x && y	Boolean logical ""and"" of x and y. x || y	Boolean logical ""or"" of x and y. !	Boolean logical ""not"". x ? y : z	If x is TRUE or not equal to 0, evaluates to the value of y; otherwise, evaluates to the value of z."
"5.4","§5.4","Relational operators","The following relational operators are defined as follows: ?	Greater than. ??	Greater than or equal to. ?	Less than. ??	Less than or equal to. ??	Equal to. !?	Not equal to. When a relational operator is applied to a syntax element or variable that has been assigned the value ""na"" (not applicable), the value ""na"" is treated as a distinct value for the syntax element or variable. The value ""na"" is considered not to be equal to any other value."
"5.5","§5.5","Bit-wise operators","The following bit-wise operators are defined as follows: &	Bit-wise ""and"". When operating on integer arguments, operates on a two's complement representation of the integer value. When operating on a binary argument that contains fewer bits than another argument, the shorter argument is extended by adding more significant bits equal to 0. |	Bit-wise ""or"". When operating on integer arguments, operates on a two's complement representation of the integer value. When operating on a binary argument that contains fewer bits than another argument, the shorter argument is extended by adding more significant bits equal to 0. ^	Bit-wise ""exclusive or"". When operating on integer arguments, operates on a two's complement representation of the integer value. When operating on a binary argument that contains fewer bits than another argument, the shorter argument is extended by adding more significant bits equal to 0. x >> y	Arithmetic right shift of a two's complement integer representation of x by y binary digits. This function is defined only for non-negative integer values of y. Bits shifted into the MSBs as a result of the right shift have a value equal to the MSB of x prior to the shift operation. x << y	Arithmetic left shift of a two's complement integer representation of x by y binary digits. This function is defined only for non-negative integer values of y. Bits shifted into the LSBs as a result of the left shift have a value equal to 0."
"5.6","§5.6","Assignment operators","The following arithmetic operators are defined as follows: ?	Assignment operator. ? ?	Increment, i.e. x? ? is equivalent to x ? x ? 1; when used in an array index, evaluates to the value of the variable prior to the increment operation. ??	Decrement, i.e. x?? is equivalent to x ? x ? 1; when used in an array index, evaluates to the value of the variable prior to the decrement operation. +=	Increment by amount specified, i.e. x += 3 is equivalent to x = x + 3, and x += (?3) is equivalent tox=x+(?3). ?=	Decrement by amount specified, i.e. x ?= 3 is equivalent to x = x ? 3, and x ?= (?3) is equivalent tox=x?(?3)."
"5.7","§5.7","Range notation","The following notation is used to specify a range of values: x = y..z	x takes on integer values starting from y to z, inclusive, with x, y, and z being integer numbers and z being greater than y."
"5.8","§5.8","Mathematical functions","The following mathematical functions are defined: Abs(x) ? (5-1) Ceil(x) the smallest integer greater than or equal to x.	(5-2) Clip1Y(x) = Clip3(0, (1 << BitDepthY) ? 1, x) (5-3) Clip1C(x) = Clip3(0, (1 << BitDepthC) ? 1, x) (5-4) Clip3(x, y, z) = (5-5) Floor(x)	the largest integer less than or equal to x. (5-6) Log2(x)	the base-2 logarithm of x. (5-7) Log10(x)	the base-10 logarithm of x. (5-8) Min(x, y) = (5-9) Max(x, y) = (5-10) Round(x) = Sign(x) * Floor(Abs(x) + 0.5) (5-11) Sign(x) = (5-12) Sqrt(x) = (5-13) Swap(x, y) = (y, x) (5-14)"
"5.9","§5.9","Order of operation precedence","When order of precedence in an expression is not indicated explicitly by use of parentheses, the following rules apply: -	Operations of a higher precedence are evaluated before any operation of a lower precedence. -	Operations of the same precedence are evaluated sequentially from left to right. Table5-1 specifies the precedence of operations from highest to lowest; a higher position in the table indicates a higher precedence. NOTE-For those operators that are also used in the C programming language, the order of precedence used in this Specification is the same as used in the C programming language. Table5-1 - Operation precedence from highest (at top of table) to lowest (at bottom of table) operations (with operands x, y, and z) ""x++"", ""x??"" ""!x"", ""?x"" (as a unary prefix operator) ""x*y"", ""x/y"", ""x?y""??"""", ""x%y"" ""x+y"", ""x?y"" (as a two-argument operator), """" ""x<<y"", ""x>>y"" ""x<y"", ""x<=y"", ""x>y"", ""x>=y"" ""x==y"", ""x!=y"" ""x&y"" ""x|y"" ""x&&y"" ""x||y"" ""x?y:z"" ""x..y"" ""x=y"", ""x+=y"", ""x?=y"""
"5.10","§5.10","Variables, syntax elements, and tables","Syntax elements in the bitstream are represented in bold type. Each syntax element is described by its name (all lower case letters with underscore characters), and one descriptor for its method of coded representation. The decoding process behaves according to the value of the syntax element and to the values of previously decoded syntax elements. When a value of a syntax element is used in the syntax tables or the text, it appears in regular (i.e. not bold) type. In some cases the syntax tables may use the values of other variables derived from syntax elements values. Such variables appear in the syntax tables, or text, named by a mixture of lower case and upper case letter and without any underscore characters. Variables starting with an upper case letter are derived for the decoding of the current syntax structure and all depending syntax structures. Variables starting with an upper case letter may be used in the decoding process for later syntax structures without mentioning the originating syntax structure of the variable. Variables starting with a lower case letter are only used within the subclause in which they are derived. In some cases, ""mnemonic"" names for syntax element values or variable values are used interchangeably with their numerical values. Sometimes ""mnemonic"" names are used without any associated numerical values. The association of values and names is specified in the text. The names are constructed from one or more groups of letters separated by an underscore character. Each group starts with an upper case letter and may contain more upper case letters. NOTE-The syntax is described in a manner that closely follows the C-language syntactic constructs. Functions that specify properties of the current position in the bitstream are referred to as syntax functions. These functions are specified in subclause7.2 and assume the existence of a bitstream pointer with an indication of the position of the next bit to be read by the decoding process from the bitstream. Syntax functions are described by their names, which are constructed as syntax element names and end with left and right round parentheses including zero or more variable names (for definition) or values (for usage), separated by commas (if more than one variable). Functions that are not syntax functions (including mathematical functions specified in subclause5.8) are described by their names, which start with an upper case letter, contain a mixture of lower and upper case letters without any underscore character, and end with left and right parentheses including zero or more variable names (for definition) or values (for usage) separated by commas (if more than one variable). A one-dimensional array is referred to as a list. A two-dimensional array is referred to as a matrix. Arrays can either be syntax elements or variables. Subscripts or square parentheses are used for the indexing of arrays. In reference to a visual depiction of a matrix, the first subscript is used as a row (vertical) index and the second subscript is used as a column (horizontal) index. The indexing order is reversed when using square parentheses rather than subscripts for indexing. Thus, an element of a matrix s at horizontal position x and vertical position y may be denoted either as s[x][y] or as syx. A single column of a matrix may be referred to as a list and denoted by omission of the row index. Thus, the column of a matrix s at horizontal position x may be referred to as the list s[x]. A specification of values of the entries in rows and columns of an array may be denoted by { {...} {...} }, where each inner pair of brackets specifies the values of the elements within a row in increasing column order and the rows are ordered in increasing row order. Thus, setting a matrix s equal to { { 1 6 } { 4 9 } specifies that s[0][0] is set equal to1, s[1][0] is set equal to 6, s[0][1] is set equal to 4, and s[1][1] is set equal to 9. Binary notation is"
"5.11","§5.11","Text description of logical operations","In the text, a statement of logical operations as would be described mathematically in the following form: if(condition 0) statement 0 else if(condition 1) statement 1 else /* informative remark on remaining condition */ statement n may be described in the following manner:... as follows /... the following applies: -	If condition 0, statement 0 -	Otherwise, if condition 1, statement 1 -	Otherwise (informative remark on remaining condition), statement n Each ""If... Otherwise, if... Otherwise,..."" statement in the text is introduced with ""... as follows"" or ""... the following applies"" immediately followed by ""If... "". The last condition of the ""If... Otherwise, if... Otherwise,..."" is always an ""Otherwise,..."". Interleaved ""If... Otherwise, if... Otherwise,..."" statements can be identified by matching ""... as follows"" or ""... the following applies"" with the ending ""Otherwise,..."". In the text, a statement of logical operations as would be described mathematically in the following form: if(condition 0a && condition 0b) statement 0 else if(condition 1a || condition 1b) statement 1 statement n may be described in the following manner:... as follows /... the following applies: -	If all of the following conditions are true, statement 0: -	condition 0a -	condition 0b -	Otherwise, if one or more of the following conditions are true, statement 1: -	condition 1a -	condition 1b -	Otherwise, statement n In the text, a statement of logical operations as would be described mathematically in the following form: if(condition 0) statement 0 if(condition 1) statement 1 may be described in the following manner: When condition 0, statement 0 When condition 1, statement 1"
"5.12","§5.12","Processes","Processes are used to describe the decoding of syntax elements. A process has a separate specification and invoking. All syntax elements and upper case variables that pertain to the current syntax structure and depending syntax structures are available in the process specification and invoking. A process specification may also have a lower case variable explicitly specified as input. Each process specification has explicitly specified an output. The output is a variable that can either be an upper case variable or a lower case variable. When invoking a process, the assignment of variables is specified as follows: -	If the variables at the invoking and the process specification do not have the same name, the variables are explicitly assigned to lower case input or output variables of the process specification. -	Otherwise (the variables at the invoking and the process specification have the same name), assignment is implied. In the specification of a process, a specific coding block may be referred to by the variable name having a value equal to the address of the specific coding block. 6 Bitstream and picture formats, partitionings, scanning processes, and neighbouring relationships"
"6.1","§6.1","Bitstream formats","This subclause specifies the relationship between the NAL unit stream and byte stream, either of which are referred to as the bitstream. The bitstream can be in one of two formats: the NAL unit stream format or the byte stream format. The NAL unit stream format is conceptually the more ""basic"" type. It consists of a sequence of syntax structures called NAL units. This sequence is ordered in decoding order. There are constraints imposed on the decoding order (and contents) of the NAL units in the NAL unit stream. The byte stream format can be constructed from the NAL unit stream format by ordering the NAL units in decoding order and prefixing each NAL unit with a start code prefix and zero or more zero-valued bytes to form a stream of bytes. The NAL unit stream format can be extracted from the byte stream format by searching for the location of the unique start code prefix pattern within this stream of bytes. Methods of framing the NAL units in a manner other than use of the byte stream format are outside the scope of this Specification. The byte stream format is specified in AnnexB."
